,NumParks
11430,5
11414,1
10301,14
10314,4
10306,17
10308,3
10305,10
10307,9
11385,12
10312,3
10466,8
10805,2
11215,10
11214,14
11236,4
10461,1
11379,17
11415,5
10473,9
10280,6
11106,7
11362,3
10026,23
10002,30
10457,12
10458,5
11354,4
10003,5
11356,7
10162,20
11378,5
10468,13
10455,14
10110,5
11357,1
11364,8
11231,22
11216,4
11206,3
10009,14
11367,7
10021,4
10467,7
10153,7
11355,21
10459,13
10456,2
10460,7
11361,1
11217,9
11238,1
11225,2
11224,27
11212,9
11368,18
10028,4
10023,18
10012,10
11205,10
11207,10
11218,11
10065,3
10019,2
10044,5
10465,1
11213,3
11222,10
11211,4
11427,3
11426,2
11423,1
11102,8
11105,8
11228,3
11365,7
10304,5
10475,1
10007,8
10278,3
11235,19
11201,9
10035,8
10029,7
10004,2
11226,5
10069,5
10039,17
11220,21
11434,15
11422,2
10034,42
10032,22
10027,18
11433,12
11435,2
11421,15
11416,10
10463,1
11436,15
11351,8
10115,12
10025,9
11412,1
11413,14
11209,4
10024,5
10310,17
10302,5
10309,6
10030,13
11230,2
10452,1
10031,16
11375,3
10303,2
10474,1
